session_path,subject_id,session_id,trial,trial_uid,id,photostim_onset,photostim_power,photostim_duration,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,start_time,stop_time,presample_start_times,presample_stop_times,sample_start_times,sample_stop_times,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,right_lick_times,photostim_start_times,photostim_stop_times,trial_time_total,trialend_start_times,trialend_stop_times
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,45,45,44,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,300.6636,305.4081,301.1636,301.9233,301.9233,302.5733,302.5733,303.7733,303.7733,305.2733,,"303.8821, 304.0252, 304.1578, 304.2977, 304.4359, 304.5656, 304.7126, 304.8505, 304.9810, 305.1457, 305.3106",,,4.744500000000016,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,46,46,45,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,307.2765,310.606,307.7765,308.5505,308.5505,309.2005,309.2005,310.4005,310.4005,,,310.5060,,,3.329499999999996,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,47,47,46,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,312.4671,315.8215,312.9671,313.7396,313.7396,314.3896,314.3896,315.5896,315.5896,,,315.7215,,,3.3543999999999983,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,48,48,47,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,317.6926,322.5445,318.1926,318.9181,318.9181,319.5681,319.5681,320.7681,320.7681,322.2681,"321.0185, 321.1477, 321.2892, 321.4457, 321.5955, 321.7196, 321.8485, 321.9562, 322.0804, 322.2057, 322.3521",,,,4.8519000000000005,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,49,49,48,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,324.3794,329.4607,324.8794,325.6828,325.6828,326.3328,326.3328,327.5328,327.5328,329.0328,"327.9347, 328.0450, 328.1896, 328.3069, 328.4560, 328.5997, 328.7495, 328.8829, 329.0317, 329.1591, 329.2946, 329.4433",,,,5.081299999999999,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,50,50,49,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,331.663,336.5707,332.163,332.986,332.986,333.636,333.636,334.836,334.836,336.336,,"335.0447, 335.1644, 335.3034, 335.4296, 335.5785, 335.7160, 335.8739, 336.0146, 336.1703, 336.2934, 336.4146, 336.5642",,,4.907699999999977,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,51,51,50,1.990,5.500,0.5000,audio delay,1,right,no early,hit,0,0,339.2208,344.0649,339.7208,340.561,340.561,341.211,341.211,342.411,342.411,343.911,,"342.5389, 342.5598, 342.6745, 342.8030, 342.9353, 343.0782, 343.1883, 343.3251, 343.4931, 343.6164, 343.7536, 343.8906, 344.0143",341.2108,341.7108,4.844100000000026,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,52,52,51,2.049,5.500,0.5000,audio delay,1,left,no early,hit,0,0,346.3093,351.3546,346.8093,347.7084,347.7084,348.3584,348.3584,349.5584,349.5584,351.0584,"349.8286, 349.9316, 350.0638, 350.2273, 350.3629, 350.4109, 350.4983, 350.6257, 350.7476, 350.8942, 351.1032, 351.2198",,348.3583,348.8583,5.0452999999999975,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,53,53,52,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,354.9043,358.4744,355.4043,356.2868,356.2868,356.9368,356.9368,358.1368,358.1368,,,358.3744,,,3.570100000000025,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,54,54,53,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,360.8257,365.7005,361.3257,362.0341,362.0341,362.6841,362.6841,363.8841,363.8841,365.3841,"364.1745, 364.3081, 364.4520, 364.5982, 364.7543, 364.8912, 365.0210, 365.1452, 365.2744, 365.4000, 365.5306, 365.6867",,,,4.874799999999993,,
